run_label,N,bandwidth,n_sim,proposal_scale,n_iter,pm_u,pm_l,pm_u2,pm_l2,pm_alpha,err_u,err_l,err_u2,err_l2,err_alpha,err_global
baseline,200,0.05,2000,0.1,3000,1.0646391843490457,1.4892290576212797,4.958831929203562,3.062625738335167,0.384216727191123,0.0646391843490457,0.010770942378720338,0.04116807079643792,0.06262573833516694,0.015783272808877036,0.10079753076698054
bw_low,200,0.01,2000,0.1,3000,0.6824128143448375,1.9425362235279968,4.932673765275519,3.3754232664735646,0.26545479966604646,0.31758718565516253,0.4425362235279968,0.06732623472448118,0.3754232664735646,0.13454520033395356,0.6784377579789826
bw_high,200,0.1,2000,0.1,3000,1.0568786480315964,1.4310035267851589,5.092444792946501,2.8451614242535626,0.3760879184340284,0.05687864803159637,0.06899647321484115,0.09244479294650088,0.15483857574643745,0.023912081565971632,0.2027029991019197
bw_higher,200,0.5,2000,0.1,3000,1.389127232251676,1.2710167121372071,4.953113006303289,2.3820775167006776,0.45774023386449036,0.3891272322516759,0.22898328786279287,0.04688699369671134,0.6179224832993224,0.05774023386449034,0.7689043302984756
nsim_low,200,0.05,500,0.1,3000,0.7946361845163907,1.7592340982113908,5.017239925477691,3.0151668328732715,0.5147975104206158,0.20536381548360927,0.25923409821139076,0.01723992547769093,0.015166832873271474,0.11479751042061581,0.3508309145929309
nsim_high,200,0.05,5000,0.1,3000,0.986923708766137,1.5561823422100842,4.950124177470226,2.9854583671996293,0.3441618522716555,0.013076291233863002,0.056182342210084224,0.04987582252977418,0.014541632800370685,0.0558381477283445,0.095626358646027
pscale_med,200,0.05,2000,0.3,3000,1.0044689870438253,1.4785674551527082,5.069582083596957,2.902586137794573,0.381170189896872,0.004468987043825257,0.021432544847291846,0.06958208359695739,0.09741386220542703,0.01882981010312801,0.12314631330178263
pscale_high,200,0.05,2000,0.5,3000,1.0719867812551873,1.3990162797481358,4.905536837680028,2.9049722386126393,0.44896920620157976,0.07198678125518732,0.1009837202518642,0.09446316231997187,0.09502776138736069,0.04896920620157974,0.18902739499126656
niter_low,200,0.05,2000,0.1,1000,1.056315268390321,1.431676413270885,5.103126747490971,2.740149086141804,0.3346499134280886,0.05631526839032097,0.06832358672911498,0.10312674749097095,0.2598509138581959,0.06535008657191144,0.30044596727759076
niter_high,200,0.05,2000,0.1,5000,1.012924243752208,1.5213960305649656,5.036579142260255,2.9458591273246784,0.3747281949505833,0.012924243752207909,0.02139603056496564,0.03657914226025483,0.05414087267532164,0.02527180504941673,0.07438251187947678
N_50,50,0.05,2000,0.1,3000,1.0710594570108602,1.4222926567453762,4.851852482755976,3.0876800865709613,0.4970698679640879,0.07105945701086025,0.0777073432546238,0.1481475172440243,0.08768008657096127,0.0970698679640879,0.2239328500680403
N_300,300,0.05,2000,0.1,3000,1.1061396724134696,1.341865691638935,5.0090103057848,2.9868373865831814,0.40799407159605316,0.10613967241346955,0.1581343083610649,0.00901030578480011,0.01316261341681857,0.007994071596053143,0.1912862638138192
